Part Number,Month of Price Date,Volume Weighted Price,Volume
779139-01,21-Jul,535,166
779139-01,21-Aug,530,253
779139-01,21-Sep,529,137
779139-01,21-Oct,555,221
779139-01,21-Nov,553,448
779139-01,21-Dec,551,194
779139-01,22-Jan,550,295
779139-01,22-Feb,630,316
779139-01,22-Mar,631,272
779139-01,22-Apr,628,198
779139-01,22-May,613,231
779139-01,22-Jun,613,333
779139-01,22-Jul,607,224
779139-01,22-Aug,648,262
779139-01,22-Sep,644,141
779139-01,22-Oct,626,226
779139-01,22-Nov,634,114
779139-01,22-Dec,645,351
779140-01,21-Feb,561,254
779140-01,21-Mar,560,226
779140-01,21-Apr,556,232
779140-01,21-May,554,206
779140-01,21-Jun,558,247
779140-01,21-Jul,559,146
779140-01,21-Aug,553,337
779140-01,21-Sep,552,230
779140-01,21-Oct,578,225
779140-01,21-Nov,576,366
779140-01,21-Dec,575,224
779140-01,22-Jan,572,209
779140-01,22-Feb,657,294
779140-01,22-Mar,657,347
779140-01,22-Apr,655,224
779140-01,22-May,639,243
779140-01,22-Jun,640,322
779140-01,22-Jul,633,224
779140-01,22-Aug,680,583
779140-01,22-Sep,674,95
779140-01,22-Oct,658,99
779140-01,22-Nov,665,119
779140-01,22-Dec,675,749
779205-01,21-Feb,130,414
779205-01,21-Mar,130,735
779205-01,21-Apr,129,618
779205-01,21-May,128,816
779205-01,21-Jun,130,709
779205-01,21-Jul,130,601
779205-01,21-Aug,128,665
779205-01,21-Sep,128,647
779205-01,21-Oct,131,792
779205-01,21-Nov,131,710
779205-01,21-Dec,130,799
779205-01,22-Jan,129,626
779205-01,22-Feb,145,684
779205-01,22-Mar,146,927
779205-01,22-Apr,145,641
779205-01,22-May,142,467
779205-01,22-Jun,142,869
779205-01,22-Jul,141,515
779205-01,22-Aug,145,1280
779205-01,22-Sep,144,716
779205-01,22-Oct,140,651
779205-01,22-Nov,142,661
779205-01,22-Dec,144,570
779351-01,21-Feb,425,274
779351-01,21-Mar,424,287
779351-01,21-Apr,421,382
779351-01,21-May,420,347
779351-01,21-Jun,423,359
779351-01,21-Jul,423,417
779351-01,21-Aug,419,341
779351-01,21-Sep,418,557
779351-01,21-Oct,439,304
779351-01,21-Nov,437,689
779351-01,21-Dec,436,321
779351-01,22-Jan,435,417
779351-01,22-Feb,499,354
779351-01,22-Mar,500,529
779351-01,22-Apr,497,409
779351-01,22-May,485,506
